_id,sensorName,dataRegister,dataType,sensorGroup
S0001,RPM,D10000,WORD,PORT_MAIN_ENGINE
S0002,OIL_PRESSURE,D10002,FLOAT,PORT_MAIN_ENGINE
S0003,OIL_PRESSURE,D10004,FLOAT,PORT_MAIN_ENGINE
S0004,FUEL_OIL_PRESSURE,D10006,FLOAT,PORT_MAIN_ENGINE
S0005,PISTON_COOL_PSI,D10008,FLOAT,PORT_MAIN_ENGINE
S0006,RIGHT_BANK_WATER_PRESSURE,D10010,FLOAT,PORT_MAIN_ENGINE
S0007,LEFT_BANK_WATER_PRESSURE,D10012,FLOAT,PORT_MAIN_ENGINE
S0008,OIL_TEMPERATURE,D10014,FLOAT,PORT_MAIN_ENGINE
S0009,WATER_TEMPERATURE,D10016,FLOAT,PORT_MAIN_ENGINE
